category,url,redirects,title,lt,description,ld,weight,featured,new,product-title,product-description,product-price,feature-age,feature-size,feature-time,related,product-video
stranicy,myagkaya-stranica-koty,https://kiddy-trick.ru/myagkie-knizhki/myagkaya-stranica-koty,Страница из фетра Коты для развивающих книжек,45,"Мягкая страница из фетра с мини-игрой в прятки. Утром котики разбегаются по двору и прячутся, а с наступлением ночи возвращаются домой. ",136,1,1,0,"Страница ""Коты""","Страница, где малышу предстоит узнать, кто живёт под крышей дома. Утром котики разбегаются по двору и прячутся, а с наступлением ночи возвращаются домой. День и ночь меняются с помощью вращающегося диска. В домике включается/выключается свет. Коты крепятся к чердаку вшитыми магнитиками.",1200,от 2-х лет,21х23 см,3-5 дн,myagkaya-stranica-dozhdik/myagkaya-stranica-vigvam/myagkaya-stranica-nebo,https://youtu.be/JG-PfiOrRxY
stranicy,myagkaya-stranica-nebo,https://kiddy-trick.ru/myagkie-knizhki/myagkaya-stranica-nebo;https://kiddy-trick.ru/razvivayushie-igry/planshet-nebo,Страница из фетра Небо для развивающих книжек,45,"Мягкая страница из фетра для игры с воздушным транспортом на липучках. С помощью этой игры можно показать, какой транспорт летает выше/ниже и изучить их названия",161,2,0,0,"Страница ""Небо""","Страничка с перекидной частью для игры с воздушным транспортом. Весь транспорт съемный, на текстильных липучках. Воздушный шар прячется в кармашке на молнии. Малыш может потренировать мелкую моторику, прокатив самолет между облаками. В луне живет маленький инопланетянин.С помощью этой игры можно показать, какой транспорт летает выше/ниже, изучить их названия и рассказать, для каких целей они используются.",1500,от 2-х лет,21х23 см,3-5 дн,myagkaya-stranica-dozhdik/myagkaya-stranica-vigvam/myagkaya-stranica-koty,
stranicy,myagkaya-stranica-more,https://kiddy-trick.ru/myagkie-knizhki/myagkaya-stranica-more,Страница из фетра Море для развивающих книжек,45,"Морская страница из велкроткани с перекидной частью. На страницу с помощью липучек крепятся морские обитатели, живущие на разной глубине.",137,3,0,0,"Страница ""Море""","Морская страница из велкроткани с перекидной частью. На страницу с помощью липучек крепятся морские обитатели, живущие на разной глубине. По волнам (в кармашке-сеточке) плывёт кораблик с котиком на борту. Всего в игре 12 съёмных деталей: кораблик, буёк, кот, рыбка, медуза, рак-отшельник в ракушке, морская звезда, морской конек, моллюск морской ангел, королевская медуза, глубоководная рыба-удильщик и двустворчатый моллюск. Кораблик, котик и буек сшиты без липучек.",1500,от 2-х лет,21х23 см,3-5 дн,,
stranicy,myagkaya-stranica-dozhdik,https://kiddy-trick.ru/myagkie-knizhki/myagkaya-stranica-dozhdik,Страница из фетра Дождик для развивающих книжек,47,"Страница с подвижными элементами, с помощью которой можно рассказать, при каких условиях появляется радуга. Тучка  перемещается влево/вправо, в ней прячутся три капельки.",170,4,0,0,"Страница ""Дождик""","Страница с подвижными элементами, с помощью которой можно рассказать, при каких условиях появляется радуга. Тучка  перемещается влево/вправо, солнышко вращается. В тучке прячутся три капельки. Каждая капля связана шнуром-перетяжкой с букашкой: во время дождя насекомые прячутся. За полянкой находится радуга.",1200,от 2-х лет,21х23 см,3-5 дн,,
stranicy,razvorot-skvorechniki,https://kiddy-trick.ru/myagkie-knizhki/myagkaya-stranica-skvorechnik;https://kiddy-trick.ru/razvivayushie-igry/planshet-skvorechniki,Страница из фетра Скворечники для развивающих книжек,52,Разворот “Скворечники” - забавный вариант игры на тему соответствия размеров. Малышу предстоит расселить шесть птичек по скворечникам. Птички фиксируются в домиках на магнитах.,176,5,0,0,"Разворот ""Скворечники""","Разворот “Скворечники” - забавный вариант игры на тему соответствия размеров. В каком домике сможет жить большая длинная птица, а в каком самая маленькая? Малышу предстоит расселить пернатых по скворечникам и решить, кто из птичек разделит домик с товарищем, ведь мест для жилья всего пять, а желающих заселиться целых семь. Все скворечники закрываются на кнопку. Птички фиксируются в домиках на магнитах. В кустах спрятался рыжий котик.

При желании кнопки и магниты можно заменить на липучку, или использовать различные застежки на домиках.  ",1500,от 2-х лет,43х23 см в развернутом виде,3-5 дн,,
stranicy,razvorot-ogorod,https://kiddy-trick.ru/myagkie-knizhki/myagkaya-stranica-ogorod,Страница из фетра Огород для развивающих книжек,47,"Двойная страница “Огород” порадует маленьких любителей овощей и фруктов. Все съемные предметы, кроме куколки, крепятся к странице кнопками.",139,6,0,0,"Разворот ""Огород""","Двойная страница “Огород” порадует маленьких любителей овощей и фруктов. У хозяйки в огороде выросло немало вкусностей, и она радуется, когда все находится на своих местах. Все съемные предметы, кроме куколки, крепятся к странице кнопками. 

При желании кнопки можно заменить на липучки.",1500,от 2-х лет,43х23 см в развернутом виде,4-7 дн,,
stranicy,planshet-dinozavry,https://kiddy-trick.ru/razvivayushie-igry/igra-naydi-dinozavrov,Игровой планшет из фетра Динозавры,34,"Планшет с игрой ""в прятки"" представляет собой разворот из двух страниц. На страничках изображен доисторический пейзаж, где прячутся 10 динозавриков.",148,7,1,0,"Планшет ""Динозавры"" ","Планшет с игрой ""в прятки"" представляет собой разворот из двух страниц. На страничках изображен доисторический пейзаж, где живут дружные динозавры. В игре всего 10 различных динозавров, которые любят поиграть в прятки. ",1800,от 2-х лет,47х25 см в развернутом виде ,7-9 дн,,https://youtu.be/XJppuWMqBGE
stranicy,planshet-bukashki,https://kiddy-trick.ru/razvivayushie-igry/planshet-bukashki,Игровой планшет из фетра Букашки,32,Детский планшет для игры с букашками. В игре 12 различных насекомых из фетра. Букашки прячутся в листочках-домиках на страницах планшета. ,138,8,0,1,"Планшет ""Букашки""","Детский планшет для игры с букашками. В игре 12 различных насекомых, сшитых из фетра. Букашки прячутся в листочках-домиках на страницах планшета. Игра предназначена для изучения разнообразия насекомых, изучения цветов и просто веселого времяпрепровождения.

Список насекомых: паук, многоножка, пчелка, кузнечик, божья коровка, бабочка, муха, стрекоза, муравей, гусеница, улитка и майский жук.",1500,от 2-х лет,47х25 см в развернутом виде ,7-9 дн,,https://youtu.be/0gjkvmW_N1g
stranicy,razvorot-poezd,,Страница из фетра Поезд для развивающих книжек,46,"Радужный поезд из фетра - это разборная игрушка. Вагоны соединяются друг с другом различными застежками. Рассаживая зверят по вагончикам, можно рассказать ребенку, что едят животные.",182,9,0,0,"Разворот ""Поезд""","Радужный поезд из фетра - это разборная игрушка. Вагоны соединяются друг с другом различными застежками, такими как: пуговка, фастекс, кнопка, магнит, липучка, шнуровка и ремешок. Рассаживая зверят по вагончикам, можно рассказать ребенку, что едят животные.",2000,от 2-х лет,43х23 см в развернутом виде,5-7 дн,,
stranicy,oblozhka-hameleon,,Обложка Хамелеон для развивающих книжек,39,"Зеленый хамелеон устроился на веточку отдохнуть. Глаз хамелеона можно открыть и закрыть, в зависимости от времени суток. Луна и солнце сменяют друг друга простым перетягиванием за петельки.",189,10,0,0,"Обложка ""Хамелеон""","Зеленый хамелеон устроился на веточку отдохнуть. Глаз хамелеона можно открыть и закрыть, в зависимости от времени суток. Луна и солнце сменяют друг друга простым перетягиванием за петельки.",500,от 2-х лет,21х23 см,1-2 дн,,
stranicy,oblozhka-shlyapa,,Обложка Шляпа для развивающих книжек,36,"Шляпа фокусника - не только яркая аппликация на обложке, но и самостоятельный интерактивный элемент развивающей книжки. В шляпе прячется лиса в костюме зайца. ",159,11,0,0,"Обложка ""Шляпа""","Шляпа фокусника - не только яркая аппликация на обложке, но и самостоятельный интерактивный элемент развивающей книжки. В шляпе прячется лиса в костюме зайца. Лису можно пристегнуть пуговицей на ленту, или использовать как отдельную игрушку.

Лисичку можно заменить на зайчика или любое другое животное.",500,от 2-х лет,21х23 см,1-2 дн,,
stranicy,oblozhka-akula,,Обложка Акула для развивающих книжек,36,Именная обложка с изображением акулы,36,12,0,0,"Обложка ""Акула""",Именная обложка с изображением акулы,500,от 2-х лет,21х23 см,1-2 дн,,
stranicy,oblozhka-mollusk,,Обложка Моллюск для развивающих книжек,38,Именная обложка с изображением моллюска наутилуса.,50,13,0,0,"Обложка ""Моллюск""",Именная обложка с изображением моллюска наутилуса.,500,от 2-х лет,21х23 см,1-2 дн,,
stranicy,oblozhka-na-zakaz,,Обложка на заказ для развивающих книжек,39,"Обложка с аппликацией, при желании - именная",44,14,0,0,Обложка на заказ,"Обложка с аппликацией, при желании - именная",500,от 2-х лет,21х23 см,1-2 дн,,
myagkie-knizhki,myagkaya-kniga-hameleon,,Мягкая книжка из фетра Хамелеон,31,"Развивающая книжка, в которой собраны 4 игры: полянка с дождиком, воздушный транспорт на липучках, домики с птичками и морская страница.",136,1,0,0,"Мягкая книга ""Хамелеон""","Мягкая книжка состоит из 4 игровых страниц - [Дождик](/stranicy/myagkaya-stranica-dozhdik), [Небо](/stranicy/myagkaya-stranica-nebo), [Скворечники](/stranicy/razvorot-skvorechniki), [Море](/stranicy/myagkaya-stranica-more) (подробнее о каждой странице можно узнать в разделе [Страницы](/stranicy))",5700,от 2-х лет,21х23 см,14-21 дн,,https://youtu.be/papFS3s1kr4
myagkie-knizhki,myagkaya-kniga-8-igr,,Мягкая книжка из фетра 8 игр,28,"Развивающая книжка, в которой собраны 8 игр: динозавры, огород, домик с котиками, воздушный транспорт, два крутящихся пазла и морская страница.",143,2,0,0,"Мягкая книга ""8 игр""","Книжка состоит из 8 игр - [Букашки](/stranicy/planshet-bukashki), [Динозавры](/stranicy/planshet-dinozavry), [Огород](/stranicy/razvorot-ogorod), страницы [Коты](/stranicy/myagkaya-stranica-koty), [Небо](/stranicy/myagkaya-stranica-nebo), пазл [Птичка](/razvivayushie-igry/puzzle-ptichka), пазл [Акула](/razvivayushie-igry/puzzle-akula), страница [Море](/stranicy/myagkaya-stranica-more) (подробнее о каждой странице можно узнать в разделах [Страницы](/stranicy/) и [Пазлы](/razvivayushie-igry/))",10300,от 2-х лет,21х23 см,21-28 дн,,https://youtu.be/EqfTrZTxhBo
myagkie-knizhki,myagkaya-kniga-razvoroty,,Мягкая книжка из фетра Развороты,32,"Развивающая книжка, в которой собраны 4 игры: птички в домиках, пальчиковый театр с поездом, динозавры и букашки.",113,3,1,0,"Мягкая книга ""Развороты""","Книжка состоит из 4 игровых разворотов: [Скворечники](/stranicy/razvorot-skvorechniki), [Поезд](/stranicy/razvorot-poezd), [Букашки](/stranicy/planshet-bukashki) и [Динозавры](/stranicy/planshet-dinozavry) (подробнее о каждой странице можно узнать в разделе [Страницы](/stranicy/))",6500,от 2-х лет,21х23 см,18-25 дн,,https://youtu.be/W_7vLSgalKQ
myagkie-knizhki,myagkaya-kniga-nayti-paru,https://kiddy-trick.ru/myagkie-knizhki/myagkaya-knizhka-nayti-paru,Мягкая книжка из фетра Найти пару,33,"Книжка с липучками, где ребенку нужно подобрать подходящую пару к иллюстрациям на страницах. В книге 4 разворота, каждый из которых содержит задачу подобрать пару (подбор по цвету, форме, смыслу) ",196,4,0,0,"Мягкая книга ""Найти пару""","Книжка с липучками, где ребенку нужно подобрать подходящую пару к иллюстрациям на страницах. В книге 4 разворота, каждый из которых содержит задачу подобрать пару (подбор по цвету, форме, смыслу) ",2500,от 2-х лет,21х23 см,14-21 дн,,https://youtu.be/vWpSSP87zV8
myagkie-knizhki,myagkaya-kniga-morskaya,,Мягкая книжка из фетра Морская,30,"Книжка в морской тематике, состоит из 6 игровых страниц: осьминог с перетяжками, игра с подбором деталей, кораблик и морские обитатели, штурвал-шнуровка, пазл ""Акула"" и магнитная рыбалка с удочкой. ",198,5,0,0,"Мягкая книга ""Морская""","Книжка в морской тематике, состоит из 6 игровых страниц: осьминог с ножками-перетяжками, игра с подбором недостающей детали, кораблик и морские обитатели, штурвал-шнуровка на магнитной кнопке, пазл ""Акула"" и магнитная рыбалка с удочкой. ",5800,от 2-х лет,21х23 см,14-21 дн,,https://youtu.be/qst0RXu-G5g
myagkie-knizhki,myagkaya-kniga-lipuchki,,Мягкая разборная книжка из фетра Липучки,40,"Разборная книжка для игры с текстильными липучками. Книжка содержит 5 мини-игр с деталями на липучках. Страницы съемные, крепятся на переплет с помощью металлических кнопок. ",174,6,0,1,"Мягкая разборная книга ""Липучки""","Разборная книжка для игры с текстильными липучками. Книжка содержит 5 мини-игр, с помощью которых малыш сможет изучить цвета радуги, нарядить елку, рассадить птичек по домикам, подобрать букашкам подходящие по цвету листочки и узнать, как выглядят овощи и фрукты внутри. 

Странички крепятся на переплет с помощью металлических кнопок. ",6500,от 2-х лет,25х25 см,10-15 дн,,
